SMILE,label
CC(C)(C)NC[C@@H](O)COc1cccc2c1C[C@H](O)[C@@H](O)C2,0
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)COC(=O)CCC(=O)O)C2(C)C=CC(=O)C=C12,1
CCOC(=O)N[C@@H](O)C(Cl)(Cl)Cl,1
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1
CC[C@H]1CC(=O)[C@@H]2Oc3c(OC)ccc4c3[C@@]23CCN(CC2CC2)C(C4)[C@H]13,1
CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,1
CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1,1
Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3,1
CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,1
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]2CC[C@H]3[C@@H](C)CCCC(C)C)C[C@H](O)C[C@H]1O,1
CN[C@H](C)C(=O)c1ccc(OC)cc1,0
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,1
CC1(C)OC(=O)Nc2ccc(Br)cc21,1
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,1
O=C(OCc1ccccc1)N1CCC(CNc2ncccn2)CC1,1
COC[C@@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1,1
CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4c3c(cn4C)C[C@@H]2N(C)C1,1
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,1
CCCC(CCC)C(N)=O,1
CN1C(=O)CN(C(N)=O)[C@@H](c2ccccc2)c2cc(Cl)ccc21,1
CC1=CN2C(CC(=O)N(C)C)=C(c3ccc(C)cc3)NC2C=C1,1
O=c1cc[nH]nc1,1
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C/Sc3n[nH]c(=O)c(=O)n3CC=O)CS[C@H]12)c1csc(N)n1,0
CCOC(=O)Cc1cc2c(c(N)n1)N=C(c1ccccc1)C(C)N2,1
CCC(=O)O[C@]1(C(=O)SC)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1
Clc1cccc(N2CCNCC2)c1,1
c1ccc([C@@H]2CCN(C[C@H]3CCCc4c3ccc3c4OCO3)C2)cc1,1
CCCCCNCC(N)=O,1
